,<최초 감사절차>,,<수정 감사절차>
Ÿ,"제품은 국내에서만 판매되며, 공장 출고 후 5일",Ÿ,신제품이 출시됨에 따라 관련된 재고관리 시스템이
,이내에 최종소비자에게 전달이 완료된다. 따라서,,변경되었다. 변경된 시스템에 대하여 정보기술(IT)
,결산일 전후 7일 동안의 매출원장을 모집단으로,,일반통제와 관련 응용통제를 테스트하였다.
,하여 매출 기간귀속 적정성을 확인한다.,,"그 결과 시스템이 효과적임을 확인하고, 시스템"
,,,에서 생성된 재고수불부를 활용하였다.
Ÿ,재무제표일인 20x1년 12월 31일에 재고자산 실사,,
,입회에 참여한다.,Ÿ,4분기 중 해외 거래처에 대하여 FOB 조건으로
,,,신규 매출 계약 건들이 발생하였다. 이에 따라
Ÿ,"매출채권 잔액이 전기 대비 크게 증가하였으며,",,
,,,수출에 대한 수익인식의 기간귀속 적정성을 확인
,총자산에서 차지하는 비중도 크게 증가하였다.,,
,,,하기 위하여 결산일 전후 7일 동안의 매출원장을
,또한 분석적절차 결과 매출채권회전율이 비정상적,,
,,,모집단으로 하여 테스트하였다.
,으로 변동하였다. 따라서 매출채권의 회수가능성을,,
,"유의적 위험으로 평가하고, 통제에 의존하여 기말",Ÿ,기존제품이 사후서비스용으로 전용됨에 따라
,실증감사 절차를 수행한다.,,기존제품에 대한 순실현가치 평가 시 해당 용도로서의
,,,가치를 측정하였다.
Ÿ,최근 시장 경쟁이 심해짐에 따라 제품 판매가격의,,
,커다란 변동이 예상되어 재고자산에 대한 순실현,Ÿ,회계팀에서 20x1년 12월 30일부터 본사 휴무이므로
,가치 평가가 중요하게 되었다. 재고자산의 순실현,,12월 29일에 재고실사를 수행할 예정이라고 통보해
,가치를 측정하기 위하여 20x1년 기말에 근접한,,왔다. 이에 따라 권나라 회계사는 20x1년 12월
,판매가격과 판매부대비용 자료를 입수하여 확인,,29일에 재고실사 입회에 참여하였다.
,하고 재계산 절차를 수행한다.,,
,,Ÿ,전년도에 매출채권 회수가능성과 관련된 통제에
Ÿ,전년도에 정보기술(IT) 일반통제와 관련 응용,,"대한 테스트를 수행하였으며, 그 결과 효과적인"
,"통제를 테스트한 결과, 재고수불 관련 내부통제는",,것으로 판단되었다. 따라서 세부테스트를 포함하여
,효과적인 것으로 판단하였다. 따라서 회사 시스템,,유의적 위험에 해당하는 실증감사절차를 수행
,에서 생성된 재고수불부를 활용하기로 한다.,,하였다.
