※ 답안 작성 시 유의사항,항목,통제활동
1. 모든 문제는 2023년 12월 31일 이후 최초로,,
,,규모가 작은 지점의 경우 근속연수가 10년
개시하는 회계연도에 적용되는 회계감사기준에,,
,,이상인 경험이 풍부한 직원에 한하여 예금 및
,③,
따라 답하시오.,,
,,"대출거래의 승인과 회계업무를
동시에"
2. 「주식회사 등의 외부감사에 관한 법률」은,,
,,수행한다.
"‘외부감사법’으로, 「공인회계사 윤리기준」은",,
,,신입사원 선발 시 인적 보증 절차를 마련
‘윤리기준’으로 표현한다.,,
,④,하고 단체손해보험에 가입하여 금융사고에
3. 문제에서 서술하라고 요구한 경우에는 문장의,,
,,대비한다.
"형태로 답하고, 답안양식을 제시한 경우에는",,
,,"모범직원에게는 사용하지 않은
월차나"
답안양식을 준수하여 답하시오.,,
,⑤,정기휴가를 휴가 수당으로 대체할 수 있는
"4. 답의 분량(개수, 줄 등)을 제한한 경우에는",,
,,인센티브를 제공한다.
해당 분량을 초과한 부분은 채점에서 고려하지,,
,,"지점에 대손이 발생한 경우, 지점장은"
않는다.,,
,,즉각적으로 최고재무책임자(CFO) 및 최고
,⑥,경영자에게 보고하고 본사의 내부감사팀이
【문제 1】(16점),,
,,지점에 방문하여 대출계약이 적절했는지
,,조사하고 회수가능성을 확인한다.
다음은 내부통제에 대한 물음이다. 각 물음은 독립적,,
이다.,,
,[답안양식],
(물음 1) ㈜투명은행의 내부통제를 이해하기 위해,,
,,"적절한가?
적절하지 않은 경우,"
,항목,
왕능숙 회계사는 설명식 기술서를 작성하였다. 다음,,
,,"(예, 아니오)
그 이유"
항목 중 ㈜투명은행의 통제활동이 적절한지 여부를,,
"기재하고, 적절하지 않은 경우 그 이유를 2줄 이내로",① ⋮ ⑥,
서술하시오.,,
